id,photo,web_name,team_code,status,code,first_name,second_name,squad_number,news,now_cost,chance_of_playing_this_round,chance_of_playing_next_round,value_form,value_season,cost_change_start,cost_change_event,cost_change_start_fall,cost_change_event_fall,in_dreamteam,dreamteam_count,selected_by_percent,form,transfers_out,transfers_in,transfers_out_event,transfers_in_event,loans_in,loans_out,loaned_in,loaned_out,total_points,event_points,points_per_game,ep_this,ep_next,special,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,ea_index,element_type,team
79,17761.jpg,Tarkowski,90,a,17761,James,Tarkowski,5,,45,100,100,0.8,4.0,0,0,0,0,,0,0.3,3.8,3146,12865,233,836,0,0,0,0,18,5,3.0,3.8,2.8,,540,0,0,2,5,0,0,0,1,0,0,0,105,201.0,4.7,21.0,22.9,0,2,4
80,41674.jpg,Long,90,a,41674,Kevin,Long,28,,40,,,0.0,0.0,0,0,0,0,,0,2.4,0.0,58836,25685,1933,946,0,0,0,0,0,0,0.0,0.0,-1.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,4
81,103914.jpg,Taylor,90,a,103914,Charlie,Taylor,3,,43,,,0.0,0.0,-2,0,2,0,,0,0.2,0.0,6978,937,214,125,0,0,0,0,0,0,0.0,0.0,-1.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,4
82,39158.jpg,Arfield,90,a,39158,Scott,Arfield,37,,49,,,0.7,2.9,-1,0,1,0,,1,0.2,3.5,3398,9555,586,1133,0,0,0,0,14,2,3.5,3.5,2.5,,271,1,0,1,3,0,0,0,2,0,0,3,40,48.8,21.0,37.0,10.7,0,3,4
83,15982.jpg,Marney,90,i,15982,Dean,Marney,8,"Knee injury - Unknown return date",45,0,0,0.0,0.0,0,0,0,0,,0,0.0,0.0,597,214,17,11,0,0,0,0,0,0,0.0,0.0,0.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,4
84,60586.jpg,Gudmundsson,90,a,60586,"Johann Berg",Gudmundsson,17,,50,,,0.3,2.0,0,0,0,0,,0,0.1,1.5,1856,1379,89,36,0,0,0,0,10,1,1.7,1.5,0.5,,370,0,0,1,4,0,0,0,0,0,0,0,36,27.6,56.8,8.0,9.2,0,3,4
85,39847.jpg,Defour,90,a,39847,Steven,Defour,16,,55,,,0.5,3.1,0,0,0,0,,0,0.4,2.5,11694,13587,489,180,0,0,0,0,17,3,2.8,2.5,1.5,,501,0,1,2,4,0,0,0,0,0,0,0,92,101.4,69.3,3.0,17.4,0,3,4
86,83314.jpg,Hendrick,90,a,83314,Jeff,Hendrick,13,,54,100,100,0.1,1.3,-1,0,1,0,,0,0.1,0.8,4172,845,56,44,0,0,0,0,7,3,2.3,0.8,-0.2,,253,0,0,1,3,0,0,0,0,0,0,0,22,10.4,51.2,46.0,10.8,0,3,4
87,90517.jpg,Brady,90,a,90517,Robbie,Brady,12,,55,,,0.9,4.0,0,0,0,0,,0,2.3,4.8,42157,124988,2864,4927,0,0,0,0,22,3,3.7,4.8,3.8,,527,0,2,2,5,0,0,0,2,0,0,4,85,111.4,223.8,63.0,39.9,0,3,4
88,60551.jpg,Westwood,90,a,60551,Ashley,Westwood,18,,45,,,0.2,0.7,0,0,0,0,,0,0.1,0.8,2523,1314,106,78,0,0,0,0,3,0,1.0,0.8,-0.2,,20,0,0,0,0,0,0,0,0,0,0,0,10,4.8,10.4,0.0,1.5,0,3,4
89,12813.jpg,Walters,90,d,12813,Jonathan,Walters,19,"Knee injury - 25% chance of playing",53,25,25,0.0,0.4,-2,0,2,0,,0,0.2,0.0,23945,1323,539,6,0,0,0,0,2,0,1.0,0.0,-0.3,,27,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.6,10.0,0.8,0,3,4
90,40145.jpg,Cork,90,a,40145,Jack,Cork,4,,45,,,0.4,3.3,0,0,0,0,,0,3.7,2.0,84809,215538,3981,3879,0,0,0,0,15,2,2.5,2.0,1.0,,540,0,1,2,5,0,0,0,2,0,0,0,86,138.8,56.1,8.0,20.3,0,3,4
91,40399.jpg,Vokes,90,a,40399,Sam,Vokes,9,,61,100,100,0.2,3.1,1,0,-1,0,,1,5.2,1.0,236862,281373,21580,1765,0,0,0,0,19,0,3.8,1.0,0.0,,302,2,0,1,4,0,0,0,0,0,0,3,63,75.2,31.2,101.0,20.8,0,4,4
92,73426.jpg,Gray,57,a,73426,Andre,Gray,18,,63,,,0.6,3.0,-2,0,2,0,,0,1.4,3.5,72033,32874,1678,4752,0,0,0,0,19,8,3.2,3.5,3.5,,440,1,1,3,5,0,0,0,1,0,0,2,47,42.6,42.3,96.0,17.7,0,4,18
93,44699.jpg,Barnes,90,a,44699,Ashley,Barnes,10,,53,,,0.2,0.8,-2,0,2,0,,0,0.4,1.0,25270,2306,674,117,0,0,0,0,4,1,0.8,1.0,0.0,,116,0,0,0,0,0,0,0,1,0,0,0,11,5.4,7.9,33.0,4.1,0,4,4
94,60772.jpg,Courtois,8,a,60772,Thibaut,Courtois,13,,55,,,0.9,4.9,0,0,0,0,,0,13.9,5.0,219494,67476,9361,4317,0,0,0,0,27,6,4.5,6.5,5.5,,540,0,0,3,5,0,0,0,0,0,13,2,113,94.6,0.0,0.0,9.6,0,1,5
95,41251.jpg,Eduardo,8,a,41251,Eduardo,"Dos Reis Carvalho",37,,49,,,0.0,0.0,-1,0,1,0,,0,0.1,0.0,1866,381,64,14,0,0,0,0,0,0,0.0,1.5,0.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,5
96,20310.jpg,Caballero,8,a,20310,Willy,Caballero,1,,49,,,0.0,0.0,-1,0,1,0,,0,0.1,0.0,2542,349,87,12,0,0,0,0,0,0,0.0,1.5,0.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,5
97,41328.jpg,Azpilicueta,8,a,41328,César,Azpilicueta,28,,65,,,1.4,6.0,0,0,0,0,1,1,11.8,9.0,156336,167572,5012,65886,0,0,0,0,39,14,6.5,10.5,9.5,,540,0,4,3,5,0,0,0,1,0,0,5,180,186.2,94.2,20.0,30.1,0,2,5
98,19419.jpg,Cahill,8,a,19419,Gary,Cahill,24,,63,100,100,0.3,0.8,-2,0,2,0,,0,4.0,2.0,455933,14112,4958,833,0,0,0,0,5,1,1.7,3.5,2.5,,134,0,0,1,3,0,0,0,0,1,0,1,27,28.0,1.7,0.0,2.9,0,2,5
99,103192.jpg,Zouma,110,a,103192,Kurt,Zouma,6,,55,0,100,0.2,2.4,0,0,0,0,,0,2.6,1.0,65067,36853,3198,974,0,0,0,0,13,0,2.6,0.0,0.5,,450,0,0,1,6,0,0,0,0,0,0,1,88,121.2,8.0,16.0,14.5,0,2,15
100,82263.jpg,Alonso,8,a,82263,Marcos,Alonso,3,,71,,,0.5,4.2,1,0,-1,0,,1,20.0,3.5,316297,489698,60458,3056,0,0,0,0,30,0,5.0,5.0,4.0,,508,2,0,2,5,0,0,0,3,0,0,3,128,175.0,96.8,125.0,39.7,0,2,5
101,41270.jpg,"David Luiz",8,s,41270,David,"Luiz Moreira Marinho",30,"Suspended until 14 Oct",59,0,0,0.5,3.5,-1,-1,1,1,,0,15.9,2.8,688319,233105,57684,430,0,0,0,0,21,0,4.2,0.0,0.0,,446,1,1,2,5,0,0,0,2,1,0,0,104,103.0,18.6,41.0,16.2,0,2,5
102,49013.jpg,Moses,8,a,49013,Victor,Moses,15,,65,100,100,0.7,3.2,0,0,0,0,,0,1.0,4.8,16579,21883,1158,1136,0,0,0,0,21,6,4.2,6.3,5.3,,431,0,0,3,2,0,0,0,1,0,0,0,76,64.0,61.2,78.0,20.4,0,2,5
103,102380.jpg,Rüdiger,8,a,102380,Antonio,Rüdiger,2,,59,,,0.8,3.4,-1,0,1,0,,0,2.1,4.8,47464,15294,1515,2484,0,0,0,0,20,7,4.0,6.3,5.3,,450,0,1,2,5,0,0,0,2,0,0,2,105,107.8,16.0,9.0,13.3,0,2,5
104,42786.jpg,Hazard,8,a,42786,Eden,Hazard,10,,105,100,100,0.1,0.3,0,0,0,0,,0,3.0,0.8,75149,129879,10377,2719,0,0,0,0,3,1,1.0,2.3,1.3,,50,0,0,0,0,0,0,0,0,0,0,0,11,16.6,38.4,25.0,8.0,0,3,5
105,17878.jpg,Fàbregas,8,a,17878,Cesc,Fàbregas,4,,69,100,100,0.6,2.3,-1,0,1,0,,1,5.8,4.3,315828,185597,17497,4918,0,0,0,0,16,1,3.2,5.8,4.8,,359,1,0,2,4,0,0,0,0,1,0,3,88,97.2,212.2,47.0,35.7,0,3,5
106,47431.jpg,Willian,8,a,47431,Willian,"Borges Da Silva",22,,70,,,0.4,2.7,0,0,0,0,,0,12.6,2.5,600057,369307,32891,4787,0,0,0,0,19,3,3.2,4.0,3.0,,424,0,1,4,3,0,0,0,0,0,0,1,79,79.0,157.0,114.0,34.9,0,3,5
107,62398.jpg,Matic,1,a,62398,Nemanja,Matic,31,,50,,,0.7,4.0,0,0,0,0,,0,15.5,3.5,380129,277503,13110,20329,0,0,0,0,20,3,3.3,4.0,4.5,,540,0,1,5,2,0,0,0,0,0,0,0,112,116.4,52.7,26.0,19.5,0,3,12
